user_id,event_type,event_time,acquisition_channel,plan_selected
user_00001,trial_signup,2026-01-07 23:17:00,Paid Ads,
user_00001,onboarding_completed,2026-01-07 23:57:00,Paid Ads,
user_00002,trial_signup,2026-05-20 02:37:00,Referral,
user_00002,onboarding_completed,2026-05-20 02:49:00,Referral,
user_00002,core_feature_used,2026-05-20 18:51:00,Referral,
user_00002,app_session,2026-05-22 11:51:00,Referral,
user_00002,app_session,2026-05-25 09:51:00,Referral,
user_00002,app_session,2026-06-01 07:51:00,Referral,
user_00003,trial_signup,2026-05-31 08:51:00,Organic Search,
user_00004,trial_signup,2026-02-10 22:27:00,Referral,
user_00004,onboarding_completed,2026-02-10 23:11:00,Referral,
user_00004,core_feature_used,2026-02-11 22:19:00,Referral,
user_00004,app_session,2026-02-16 01:19:00,Referral,
user_00004,upgraded_to_paid,2026-02-18 17:19:00,Referral,Starter
user_00005,trial_signup,2026-04-28 17:07:00,Organic Search,
user_00006,trial_signup,2026-05-22 09:53:00,Paid Ads,
user_00006,onboarding_completed,2026-05-22 13:44:00,Paid Ads,
user_00007,trial_signup,2026-01-18 01:42:00,Paid Ads,
user_00007,onboarding_completed,2026-01-18 03:01:00,Paid Ads,
user_00008,trial_signup,2026-01-26 12:17:00,Content/Blog,
user_00008,onboarding_completed,2026-01-26 15:55:00,Content/Blog,
user_00008,core_feature_used,2026-01-27 17:21:00,Content/Blog,
user_00008,app_session,2026-02-03 01:21:00,Content/Blog,
user_00008,app_session,2026-02-09 22:21:00,Content/Blog,
user_00009,trial_signup,2026-02-13 17:46:00,Paid Ads,
user_00009,onboarding_completed,2026-02-13 19:49:00,Paid Ads,
user_00009,core_feature_used,2026-02-15 15:40:00,Paid Ads,
user_00009,app_session,2026-02-18 12:40:00,Paid Ads,
user_00009,app_session,2026-02-21 13:40:00,Paid Ads,
user_00009,app_session,2026-02-23 14:40:00,Paid Ads,
user_00010,trial_signup,2026-01-17 06:58:00,Paid Ads,
user_00011,trial_signup,2026-03-22 06:41:00,Content/Blog,
user_00011,onboarding_completed,2026-03-22 10:32:00,Content/Blog,
user_00012,trial_signup,2026-03-09 04:15:00,Paid Ads,
user_00013,trial_signup,2026-05-30 13:57:00,Paid Ads,
user_00013,onboarding_completed,2026-05-30 15:34:00,Paid Ads,
user_00013,core_feature_used,2026-05-31 01:10:00,Paid Ads,
user_00013,app_session,2026-06-01 02:10:00,Paid Ads,
user_00013,app_session,2026-06-02 06:10:00,Paid Ads,
user_00013,app_session,2026-06-08 11:10:00,Paid Ads,
user_00014,trial_signup,2026-01-17 12:24:00,Paid Ads,
user_00014,onboarding_completed,2026-01-17 14:28:00,Paid Ads,
user_00015,trial_signup,2026-01-03 21:46:00,Content/Blog,
user_00015,onboarding_completed,2026-01-04 01:37:00,Content/Blog,
user_00016,trial_signup,2026-03-29 03:18:00,Organic Search,
user_00016,onboarding_completed,2026-03-29 05:19:00,Organic Search,
user_00016,core_feature_used,2026-03-29 23:27:00,Organic Search,
user_00016,app_session,2026-04-01 15:27:00,Organic Search,
user_00016,app_session,2026-04-03 11:27:00,Organic Search,
user_00016,app_session,2026-04-07 07:27:00,Organic Search,
user_00016,app_session,2026-04-13 02:27:00,Organic Search,
user_00016,app_session,2026-04-15 06:27:00,Organic Search,
user_00017,trial_signup,2026-05-16 00:38:00,Organic Search,
user_00017,onboarding_completed,2026-05-16 00:47:00,Organic Search,
user_00017,core_feature_used,2026-05-17 01:43:00,Organic Search,
user_00017,app_session,2026-05-20 08:43:00,Organic Search,
user_00017,app_session,2026-05-21 15:43:00,Organic Search,
user_00017,app_session,2026-05-26 17:43:00,Organic Search,
user_00017,app_session,2026-05-28 16:43:00,Organic Search,
user_00018,trial_signup,2026-05-17 04:08:00,Organic Search,
user_00018,onboarding_completed,2026-05-17 06:33:00,Organic Search,
user_00018,core_feature_used,2026-05-18 18:44:00,Organic Search,
user_00018,app_session,2026-05-23 00:44:00,Organic Search,
user_00018,app_session,2026-05-28 23:44:00,Organic Search,
user_00018,app_session,2026-06-04 05:44:00,Organic Search,
user_00018,app_session,2026-06-10 14:44:00,Organic Search,
user_00019,trial_signup,2026-04-06 14:57:00,Referral,
user_00019,onboarding_completed,2026-04-06 15:32:00,Referral,
user_00019,core_feature_used,2026-04-06 20:04:00,Referral,
user_00019,upgraded_to_paid,2026-04-09 18:04:00,Referral,Pro
user_00019,app_session,2026-04-12 13:04:00,Referral,
user_00019,app_session,2026-04-15 07:04:00,Referral,
user_00020,trial_signup,2026-01-09 10:04:00,Organic Search,
user_00020,onboarding_completed,2026-01-09 11:20:00,Organic Search,
user_00021,trial_signup,2026-02-03 23:59:00,Organic Search,
user_00022,trial_signup,2026-03-04 15:51:00,Paid Ads,
user_00022,onboarding_completed,2026-03-04 16:20:00,Paid Ads,
user_00022,core_feature_used,2026-03-05 21:55:00,Paid Ads,
user_00022,app_session,2026-03-10 11:55:00,Paid Ads,
user_00022,app_session,2026-03-16 12:55:00,Paid Ads,
user_00023,trial_signup,2026-01-26 01:25:00,Content/Blog,
user_00024,trial_signup,2026-01-28 07:12:00,Content/Blog,
user_00024,onboarding_completed,2026-01-28 09:11:00,Content/Blog,
user_00024,core_feature_used,2026-01-28 21:52:00,Content/Blog,
user_00024,app_session,2026-01-30 23:52:00,Content/Blog,
user_00024,app_session,2026-02-04 16:52:00,Content/Blog,
user_00024,upgraded_to_paid,2026-02-09 14:52:00,Content/Blog,Pro
user_00025,trial_signup,2026-03-02 05:26:00,Content/Blog,
user_00025,onboarding_completed,2026-03-02 06:25:00,Content/Blog,
user_00026,trial_signup,2026-02-12 12:00:00,Content/Blog,
user_00027,trial_signup,2026-04-27 09:27:00,Organic Search,
user_00028,trial_signup,2026-05-23 21:45:00,Referral,
user_00028,onboarding_completed,2026-05-23 22:38:00,Referral,
user_00028,core_feature_used,2026-05-24 02:47:00,Referral,
user_00028,app_session,2026-05-29 03:47:00,Referral,
user_00028,app_session,2026-06-04 13:47:00,Referral,
user_00028,app_session,2026-06-05 14:47:00,Referral,
user_00029,trial_signup,2026-05-16 05:03:00,Paid Ads,
user_00030,trial_signup,2026-02-17 02:38:00,Organic Search,
user_00030,onboarding_completed,2026-02-17 06:23:00,Organic Search,
user_00030,core_feature_used,2026-02-17 14:44:00,Organic Search,
user_00030,app_session,2026-02-22 21:44:00,Organic Search,
user_00030,app_session,2026-02-28 16:44:00,Organic Search,
user_00030,app_session,2026-03-02 11:44:00,Organic Search,
